26.01.2017  0:17:54,49 - lsm, INFO, ALL IS WELL  
26.01.2017  0:17:58,85 - lsm, INFO, ALL IS WELL  
26.01.2017  0:18:03,26 - nsd, INFO, ALL IS WELL  
26.01.2017  0:18:03,56 - lsm, INFO, ALL IS WELL  
26.01.2017  0:18:07,94 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:18:08,24 - lsm, INFO, ALL IS WELL  
26.01.2017  0:18:12,63 - lsm, INFO, ALL IS WELL  
26.01.2017  0:18:17,08 - nsd, INFO, ALL IS WELL  
26.01.2017  0:18:17,40 - lsm, INFO, ALL IS WELL  
26.01.2017  0:18:21,79 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:18:22,09 - lsm, INFO, ALL IS WELL  
26.01.2017  0:18:26,46 - lsm, INFO, ALL IS WELL  
26.01.2017  0:18:30,83 - nsd, INFO, ALL IS WELL  
